estuary	CommonName	LifeStage	SalZone	Winter	Spring	Summer	Fall	All	TaxaName	State	Latitude	Longitude	Count	PctDensity
BOSTON HARBOR	ALEWIFE	ADULTS	0.5-25 ppt	0	2.333333333	3.333333333	1.333333333	1.75	"ALEWIFE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.75	0.002391255
BOSTON HARBOR	ALEWIFE	ADULTS	>25 ppt	0	2.333333333	3.333333333	2.666666667	2.083333333	"ALEWIFE, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.083333333	0.002846732
BOSTON HARBOR	AMERICAN EEL	ADULTS	0.5-25 ppt	0	0	0.666666667	2.666666667	0.833333333	"AMERICAN EEL, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0.833333333	0.001138693
BOSTON HARBOR	AMERICAN EEL	ADULTS	>25 ppt	0	0	0.666666667	2.666666667	0.833333333	"AMERICAN EEL, ADULTS, >25 ppt"	MA	42.335	-70.9815	0.833333333	0.001138693
BOSTON HARBOR	AMERICAN LOBSTER	ADULTS	0.5-25 ppt	0.666666667	2.333333333	4	3.333333333	2.583333333	"AMERICAN LOBSTER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.583333333	0.003529948
BOSTON HARBOR	AMERICAN LOBSTER	ADULTS	>25 ppt	2.333333333	3	4	3.333333333	3.166666667	"AMERICAN LOBSTER, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.166666667	0.004327033
BOSTON HARBOR	AMERICAN PLAICE	ADULTS	0.5-25 ppt	0	0	0	0	0	"AMERICAN PLAICE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	AMERICAN PLAICE	ADULTS	>25 ppt	4	4	4	4	4	"AMERICAN PLAICE, ADULTS, >25 ppt"	MA	42.335	-70.9815	4	0.005465725
BOSTON HARBOR	AMERICAN SAND LANCE	ADULTS	0.5-25 ppt	0	2	0.666666667	2	1.166666667	"AMERICAN SAND LANCE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	AMERICAN SAND LANCE	ADULTS	>25 ppt	3	3	3	3	3	"AMERICAN SAND LANCE, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	AMERICAN SHAD	ADULTS	0.5-25 ppt	0	1.333333333	2	1.333333333	1.166666667	"AMERICAN SHAD, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	AMERICAN SHAD	ADULTS	>25 ppt	0	1.333333333	2	1.333333333	1.166666667	"AMERICAN SHAD, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	ATLANTIC COD	ADULTS	0.5-25 ppt	2	3	0.666666667	2	1.916666667	"ATLANTIC COD, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.916666667	0.002618993
BOSTON HARBOR	ATLANTIC COD	ADULTS	>25 ppt	2.333333333	3	2.333333333	2.666666667	2.583333333	"ATLANTIC COD, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.583333333	0.003529948
BOSTON HARBOR	ATLANTIC HERRING	ADULTS	0.5-25 ppt	2	2.666666667	2	3	2.416666667	"ATLANTIC HERRING, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.416666667	0.003302209
BOSTON HARBOR	ATLANTIC HERRING	ADULTS	>25 ppt	4	4	2	3	3.25	"ATLANTIC HERRING, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.25	0.004440902
BOSTON HARBOR	ATLANTIC MACKEREL	ADULTS	0.5-25 ppt	0	0.666666667	3	1	1.166666667	"ATLANTIC MACKEREL, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	ATLANTIC MACKEREL	ADULTS	>25 ppt	0	0.666666667	3	1	1.166666667	"ATLANTIC MACKEREL, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	ATLANTIC MENHADEN	ADULTS	0.5-25 ppt	0	1.666666667	3	3	1.916666667	"ATLANTIC MENHADEN, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.916666667	0.002618993
BOSTON HARBOR	ATLANTIC MENHADEN	ADULTS	>25 ppt	0	1.666666667	3	3	1.916666667	"ATLANTIC MENHADEN, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.916666667	0.002618993
BOSTON HARBOR	ATLANTIC ROCK CRAB	ADULTS	0.5-25 ppt	3	3	3	3	3	"ATLANTIC ROCK CRAB, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	ATLANTIC ROCK CRAB	ADULTS	>25 ppt	3	3.333333333	4	4	3.583333333	"ATLANTIC ROCK CRAB, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.583333333	0.004896379
BOSTON HARBOR	ATLANTIC SALMON	ADULTS	0.5-25 ppt	0	0	0	0	0	"ATLANTIC SALMON, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	ATLANTIC SALMON	ADULTS	>25 ppt	0	0	0	0	0	"ATLANTIC SALMON, ADULTS, >25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	ATLANTIC STURGEON	ADULTS	0.5-25 ppt	0	0	0	0	0	"ATLANTIC STURGEON, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	ATLANTIC STURGEON	ADULTS	>25 ppt	0	0	0	0	0	"ATLANTIC STURGEON, ADULTS, >25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	ATLANTIC TOMCOD	ADULTS	0.5-25 ppt	3	3	3	3	3	"ATLANTIC TOMCOD, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
