"SAMPLEID"	"INDEX_NAME"	"INDEX_CLASS"	"transect_area_m2"	"ncol_total"	"lcol_total"	"nt_total"	"ncol_Acropora"	"ncol_AcroOrbi_m2"	"pcol_Acropora"	"nt_BCG_att123"	"nt_BCG_att1234"	"nt_BCG_att5"	"pt_BCG_att5"	"LCSA3D_samp_m2"	"LCSA3D_BCG_att1234_m2"	"LCSA3D_LRBC_m2"	"ncol_SmallWeedy"	"pcol_SmallWeedy"
"Samp0371"	"CORAL_TEST"	"CORAL_TEST"	10	13	2.56494935746154	3	0	0	0	0	1	1	33.3333333333333	64.4998424213112	55.6940563880694	55.6940563880694	11	84.6153846153846
"Samp0493"	"CORAL_TEST"	"CORAL_TEST"	10	20	2.99573227355399	3	0	1.8	0	2	2	1	33.3333333333333	520.39917801785	518.413102412159	518.413102412159	1	5
"Samp0729"	"CORAL_TEST"	"CORAL_TEST"	10	18	2.89037175789616	4	0	0	0	0	3	1	25	94.3723143039775	91.1914517422178	40.0649274607715	18	100
"Samp0765"	"CORAL_TEST"	"CORAL_TEST"	10	1	0	1	0	0	0	0	1	0	0	5.31616381849648	5.31616381849648	0	1	100
"Samp1025"	"CORAL_TEST"	"CORAL_TEST"	10	20	2.99573227355399	8	0	0	0	1	4	4	50	446.668354632588	322.978943122236	259.013907762813	15	75
"Samp1106"	"CORAL_TEST"	"CORAL_TEST"	10	2	0.693147180559945	1	0	0	0	0	0	1	100	12.4026150972908	0	0	2	100
"Samp1182"	"CORAL_TEST"	"CORAL_TEST"	10	6	1.79175946922805	5	0	0.1	0	2	4	1	20	1132.28447935135	1128.55383807521	1123.25240047228	3	50
"Samp1381"	"CORAL_TEST"	"CORAL_TEST"	10	8	2.07944154167984	4	0	0	0	0	1	3	75	113.419348776226	7.69690200129499	7.69690200129499	8	100
"Samp1403"	"CORAL_TEST"	"CORAL_TEST"	10	1	0	1	0	0	0	0	0	1	100	66.0127156335555	0	0	0	0
"Samp1417"	"CORAL_TEST"	"CORAL_TEST"	10	1	0	1	0	0	0	0	0	1	100	0.795215640439916	0	0	1	100
"Samp1460"	"CORAL_TEST"	"CORAL_TEST"	10	4	1.38629436111989	3	0	0	0	0	1	2	66.6666666666667	115.521172436247	2.80887835662055	2.80887835662055	4	100
"Samp1509"	"CORAL_TEST"	"CORAL_TEST"	10	1	0	1	0	0	0	0	0	1	100	12.7234502470387	0	0	1	100
