SITE	SPECIES	TOTAL	TYPE	PTOLR	NATIVE_MBSS	TROPHIC_MBSS	SILT	PIRHALLA	FIBISTRATA	ACREAGE	LEN_SAMP	AVWID	TOTBIOM	Index.Name
_TEST	NO FISH OBSERVED	0	NOTYPE	NOTYPE	N	NOTYPE	NOTYPE	0	COASTAL	10	75	5	0	MBSS.2005.Fish
TUIZ-537-R-1111	CREEK CHUBSUCKER	9	SUCKER	NOTYPE	N	IV	N	-0.79	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	YELLOW BULLHEAD	4	NOTYPE	NOTYPE	N	OM	N	1.62	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	TADPOLE MADTOM	1	MADTOM	NOTYPE	N	IV	N	-0.32	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	REDFIN PICKEREL	10	NOTYPE	T	IY	TP	N	-1.61	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	PUMPKINSEED	11	SUNFISH	T	IY	IV	N	-0.37	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	GOLDEN SHINER	50	OTHRCYPR	T	N	OM	N	-2.01	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	EASTERN MOSQUITOFISH	11	NOTYPE	NOTYPE	N	IV	N	0	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	GOLDFISH	1	OTHRCYPR	NOTYPE	I	OM	N	0	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	BROWN BULLHEAD	16	NOTYPE	T	N	OM	N	-1.71	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	BANDED SUNFISH	43	SUNFISH	NOTYPE	N	IV	N	-1.97	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	AMERICAN EEL	2	NOTYPE	NOTYPE	N	GE	N	1.43	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	BLUEGILL	11	SUNFISH	T	IC	IV	N	0.63	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TUIZ-537-R-1111	EASTERN MUDMINNOW	51	NOTYPE	T	N	IV	N	-2.34	COASTAL	2481.92262	75	8.375	2591	MBSS.2005.Fish
TGMB-434-S-1111	CREEK CHUB	9	OTHRCYPR	T	N	GE	Y	1.87	COLD	1413.95	75	4.05	1505	MBSS.2005.Fish
TGMB-434-S-1111	BROOK TROUT	37	NOTYPE	I	N	GE	Y	2.49	COLD	1413.95	75	4.05	1505	MBSS.2005.Fish
TGMB-434-S-1111	BLACKNOSE DACE	130	OTHRCYPR	T	N	OM	N	1.81	COLD	1413.95	75	4.05	1505	MBSS.2005.Fish
TMDB-336-X-1111	CREEK CHUB	239	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	105.03	75	1.7	1638	MBSS.2005.Fish
TMDB-336-X-1111	BLUE RIDGE SCULPIN	45	SCULPIN	I	N	IS	Y	0	EPIEDMONT	105.03	75	1.7	1638	MBSS.2005.Fish
TMDB-336-X-1111	BLACKNOSE DACE	327	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	105.03	75	1.7	1638	MBSS.2005.Fish
TMDB-434-X-1111	BLUNTNOSE MINNOW	28	OTHRCYPR	T	N	OM	N	2.24	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	EASTERN MOSQUITOFISH	26	NOTYPE	NOTYPE	N	IV	N	0	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	COMMON SHINER	10	SHINER	I	N	OM	Y	3.83	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	BLUE RIDGE SCULPIN	195	SCULPIN	I	N	IS	Y	0	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	FALLFISH	5	OTHRCYPR	I	N	GE	Y	2.51	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	CREEK CHUB	55	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	FATHEAD MINNOW	1	OTHRCYPR	NOTYPE	I	OM	N	0.44	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	LONGNOSE DACE	2	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	ROSYSIDE DACE	14	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	SATINFIN SHINER	2	SHINER	I	N	IV	N	2.98	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	BLACKNOSE DACE	97	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	WHITE SUCKER	16	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	LARGEMOUTH BASS	3	NOTYPE	T	IC	TP	N	1.55	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	TESSELLATED DARTER	14	DARTER	T	N	IV	N	1.8	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-434-X-1111	PUMPKINSEED	2	SUNFISH	T	IY	IV	N	-0.37	EPIEDMONT	393.08	75	2.575	1377	MBSS.2005.Fish
TMDB-435-X-1111	CREEK CHUB	147	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	146.07	75	1.925	1389	MBSS.2005.Fish
TMDB-435-X-1111	BLACKNOSE DACE	430	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	146.07	75	1.925	1389	MBSS.2005.Fish
TMDB-435-X-1111	BLUE RIDGE SCULPIN	45	SCULPIN	I	N	IS	Y	0	EPIEDMONT	146.07	75	1.925	1389	MBSS.2005.Fish
TMDB-437-R-1111	BLACKNOSE DACE	129	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	BLUE RIDGE SCULPIN	317	SCULPIN	I	N	IS	Y	0	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	WHITE SUCKER	3	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	BLUEGILL	7	SUNFISH	T	IC	IV	N	0.63	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	CREEK CHUB	55	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	COMMON SHINER	2	SHINER	I	N	OM	Y	3.83	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	CUTLIP MINNOW	5	OTHRCYPR	NOTYPE	N	IV	Y	3.83	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	LONGNOSE DACE	18	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	LARGEMOUTH BASS	4	NOTYPE	T	IC	TP	N	1.55	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	FALLFISH	8	OTHRCYPR	I	N	GE	Y	2.51	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-437-R-1111	ROSYSIDE DACE	35	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	563.102874	75	2.425	1438	MBSS.2005.Fish
TMDB-439-R-1111	BLUE RIDGE SCULPIN	1098	SCULPIN	I	N	IS	Y	0	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
TMDB-439-R-1111	BLACKNOSE DACE	226	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
TMDB-439-R-1111	WHITE SUCKER	98	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
TMDB-439-R-1111	ROSYSIDE DACE	5	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
