SAMPLEID	INDEX_NAME	INDEX_REGION	ni_total	li_total	nt_total	nt_Achnan_Navic	nt_LOW_N	nt_HIGH_N	nt_LOW_P	nt_HIGH_P	nt_BC_1	nt_BC_2	nt_BC_3	nt_BC_4	nt_BC_5	nt_BC_12	nt_BC_45	nt_PT_1	nt_PT_2	nt_PT_3	nt_PT_4	nt_PT_5	nt_PT_12	nt_SALINITY_1	nt_SALINITY_2	nt_SALINITY_3	nt_SALINITY_4	nt_SALINITY_12	nt_SALINITY_34	nt_O_1	nt_O_2	nt_O_3	nt_O_4	nt_O_5	nt_O_345	nt_SESTONIC_HABIT	nt_BENTHIC_HABIT	nt_BAHLS_1	nt_BAHLS_2	nt_BAHLS_3	nt_TROPHIC_1	nt_TROPHIC_2	nt_TROPHIC_3	nt_TROPHIC_4	nt_TROPHIC_5	nt_TROPHIC_6	nt_TROPHIC_7	nt_TROPHIC_456	nt_SAP_1	nt_SAP_2	nt_SAP_3	nt_SAP_4	nt_SAP_5	nt_NON_N_FIXER	nt_N_FIXER	nt_HIGHLY_MOTILE	nt_MODERATELY_MOTILE	nt_NON_MOTILE	nt_SLIGHTLY_MOTILE	nt_WEAKLY_MOTILE	nt_BIG	nt_SMALL	nt_MEDIUM	nt_VERY_BIG	nt_VERY_SMALL	nt_ADNATE	nt_STALKED	nt_HIGHLY_MOTILE.1	nt_ARAPHID	nt_DIAT_CL_1	nt_DIAT_CL_2	nt_BEN_SES_1	nt_BEN_SES_2	nt_DIAT_CA_1	nt_DIAT_CA_2	nt_DIAT_COND_1	nt_DIAT_COND_2	nt_DIATAS_TN_1	nt_DIATAS_TN_2	nt_DIATAS_TP_1	nt_DIATAS_TP_2	nt_MOTILITY_1	nt_MOTILITY_2	nt_NF_1	nt_NF_2	pi_Achnan_Navic	pi_HIGH_N	pi_LOW_N	pi_HIGH_P	pi_LOW_P	pi_BC_1	pi_BC_2	pi_BC_3	pi_BC_4	pi_BC_5	pi_PT_1	pi_PT_2	pi_PT_3	pi_PT_4	pi_PT_5	pi_PT_45	pi_SALINITY_1	pi_SALINITY_2	pi_SALINITY_3	pi_SALINITY_4	pi_O_1	pi_O_2	pi_O_3	pi_O_4	pi_O_5	pi_SESTONIC_HABIT	pi_BENTHIC_HABIT	pi_BAHLS_1	pi_BAHLS_2	pi_BAHLS_3	pi_TROPHIC_1	pi_TROPHIC_2	pi_TROPHIC_3	pi_TROPHIC_4	pi_TROPHIC_5	pi_TROPHIC_6	pi_TROPHIC_7	pi_SAP_1	pi_SAP_2	pi_SAP_3	pi_SAP_4	pi_SAP_5	pi_NON_N_FIXER	pi_N_FIXER	pi_HIGHLY_MOTILE	pi_MODERATELY_MOTILE	pi_NON_MOTILE	pi_SLIGHTLY_MOTILE	pi_WEAKLY_MOTILE	pi_BIG	pi_SMALL	pi_MEDIUM	pi_VERY_BIG	pi_VERY_SMALL	pi_ADNATE	pi_STALKED	pi_HIGHLY_MOTILE.1	pi_ARAPHID	pi_DIAT_CL_1	pi_DIAT_CL_1_ASSR	pi_DIAT_CL_2	pi_BEN_SES_1	pi_BEN_SES_2	pi_DIAT_CA_1	pi_DIAT_CA_2	pi_DIAT_COND_1	pi_DIAT_COND_2	pi_DIATAS_TN_1	pi_DIATAS_TN_2	pi_DIATAS_TP_1	pi_DIATAS_TP_2	pi_MOTILITY_1	pi_MOTILITY_2	pi_NF_1	pi_NF_2	pt_Achnan_Navic	pt_HIGH_N	pt_LOW_N	pt_HIGH_P	pt_LOW_P	pt_BC_1	pt_BC_2	pt_BC_3	pt_BC_4	pt_BC_5	pt_BC_12	pt_BC_45	pt_PT_1	pt_PT_2	pt_PT_3	pt_PT_4	pt_PT_5	pt_PT_12	pt_SALINITY_1	pt_SALINITY_2	pt_SALINITY_3	pt_SALINITY_4	pt_SALINITY_34	pt_O_1	pt_O_2	pt_O_3	pt_O_4	pt_O_5	pt_O_345	pt_SESTONIC_HABIT	pt_BENTHIC_HABIT	pt_BAHLS_1	pt_BAHLS_2	pt_BAHLS_3	pt_TROPHIC_1	pt_TROPHIC_2	pt_TROPHIC_3	pt_TROPHIC_4	pt_TROPHIC_5	pt_TROPHIC_6	pt_TROPHIC_7	pt_TROPHIC_456	pt_SAP_1	pt_SAP_2	pt_SAP_3	pt_SAP_4	pt_SAP_5	pt_NON_N_FIXER	pt_N_FIXER	pt_HIGHLY_MOTILE	pt_MODERATELY_MOTILE	pt_NON_MOTILE	pt_SLIGHTLY_MOTILE	pt_WEAKLY_MOTILE	pt_BIG	pt_SMALL	pt_MEDIUM	pt_VERY_BIG	pt_VERY_SMALL	pt_ADNATE	pt_STALKED	pt_HIGHLY_MOTILE.1	pt_ARAPHID	pt_DIAT_CL_1	pt_DIAT_CL_2	pt_BEN_SES_1	pt_BEN_SES_2	pt_DIAT_CA_1	pt_DIAT_CA_2	pt_DIAT_COND_1	pt_DIAT_COND_2	pt_DIATAS_TN_1	pt_DIATAS_TN_2	pt_DIATAS_TP_1	pt_DIATAS_TP_2	pt_MOTILITY_1	pt_MOTILITY_2	pt_NF_1	pt_NF_2	nt_Sens_810	nt_RefIndicators	nt_Tol_13	pi_Sens_810	pi_RefIndicators	pi_Tol_13	pt_Sens_810	pt_RefIndicators	pt_Tol_13	wa_POLL_TOL
AB01141	IDEM_2021_Diatoms	HIN	600	6.396929655	58	10	5	20	4	11	6	8	16	16	5	14	21	2	2	2	11	4	4	2	38	3	1	40	4	11	10	10	4	0	14	0	58	4	15	19	4	2	2	7	15	0	9	22	7	21	7	4	0	58	0	6	20	7	19	6	1	28	6	0	16	16	7	22	7	0	27	58	0	8	1	1	3	12	4	11	4	18	35	0	58	30.83333333	41	30.16666667	30.83333333	26	5.166666667	9	47.16666667	29	4.166666667	3.5	2.5	1.5	55.83333333	4.166666667	60	0.833333333	83.33333333	3.5	0.666666667	35.33333333	21.5	20	5.5	0	0	100	3.833333333	13.5	66	1.833333333	1	2.166666667	6.166666667	38.33333333	0	32.66666667	8	64	7.666666667	4.5	0	100	0	5	13.5	12	44.5	25	0.166666667	43.33333333	4.333333333	0	47.5	46.16666667	16.83333333	14.16666667	12	0	0	59	100	0	12.16666667	0.333333333	0.166666667	2.5	24.33333333	29.16666667	30.83333333	26	12.33333333	81	0	100	17.24137931	34.48275862	8.620689655	18.96551724	6.896551724	10.34482759	13.79310345	27.5862069	27.5862069	8.620689655	24.13793103	36.20689655	3.448275862	3.448275862	3.448275862	18.96551724	6.896551724	6.896551724	3.448275862	65.51724138	5.172413793	1.724137931	6.896551724	18.96551724	17.24137931	17.24137931	6.896551724	0	24.13793103	0	100	6.896551724	25.86206897	32.75862069	6.896551724	3.448275862	3.448275862	12.06896552	25.86206897	0	15.51724138	37.93103448	12.06896552	36.20689655	12.06896552	6.896551724	0	100	0	10.34482759	34.48275862	12.06896552	32.75862069	10.34482759	1.724137931	48.27586207	10.34482759	0	27.5862069	27.5862069	12.06896552	37.93103448	12.06896552	0	46.55172414	100	0	13.79310345	1.724137931	1.724137931	5.172413793	20.68965517	6.896551724	18.96551724	6.896551724	31.03448276	60.34482759	0	100	14	3	10	36.02058319	25	10.63464837	24.13793103	5.172413793	17.24137931	3.809876543
AB01142	IDEM_2021_Diatoms	HIN	600	6.396929655	56	10	9	15	6	11	7	9	17	12	6	16	18	2	3	1	9	3	5	0	33	3	1	33	4	9	6	10	3	1	14	4	52	3	13	17	0	3	1	6	16	0	6	22	4	18	6	4	1	55	0	4	15	16	14	6	3	21	6	0	18	11	8	15	13	0	23	53	2	9	1	2	4	7	6	11	7	12	38	0	55	26	16.83333333	35.83333333	9.166666667	25	12.66666667	13.16666667	35.5	28.66666667	6.166666667	2.333333333	17.66666667	0.166666667	27.66666667	9.166666667	36.83333333	0	82.16666667	2	1.833333333	37.66666667	7.333333333	22.66666667	3.5	0.666666667	17.66666667	98	3.5	25.83333333	52.16666667	0	1	1.833333333	13.33333333	31.66666667	0	33.33333333	5.166666667	47.5	18.66666667	4.166666667	1.833333333	99.66666667	0	1.5	13.5	47.33333333	31	6.333333333	16.83333333	22	8	0	48.66666667	28	11.16666667	8	30.33333333	0	0	67.16666667	98.66666667	1	8.833333333	0.166666667	1	5.166666667	9.833333333	29.66666667	9.166666667	26.16666667	7.166666667	86	0	99.66666667	17.85714286	26.78571429	16.07142857	19.64285714	10.71428571	12.5	16.07142857	30.35714286	21.42857143	10.71428571	28.57142857	32.14285714	3.571428571	5.357142857	1.785714286	16.07142857	5.357142857	8.928571429	0	58.92857143	5.357142857	1.785714286	7.142857143	16.07142857	10.71428571	17.85714286	5.357142857	1.785714286	25	7.142857143	92.85714286	5.357142857	23.21428571	30.35714286	0	5.357142857	1.785714286	10.71428571	28.57142857	0	10.71428571	39.28571429	7.142857143	32.14285714	10.71428571	7.142857143	1.785714286	98.21428571	0	7.142857143	26.78571429	28.57142857	25	10.71428571	5.357142857	37.5	10.71428571	0	32.14285714	19.64285714	14.28571429	26.78571429	23.21428571	0	41.07142857	94.64285714	3.571428571	16.07142857	1.785714286	3.571428571	7.142857143	12.5	10.71428571	19.64285714	12.5	21.42857143	67.85714286	0	98.21428571	15	9	10	33.21492007	25.33333333	18.29484902	26.78571429	16.07142857	17.85714286	3.415204678
AB01143	IDEM_2021_Diatoms	HIN	600	6.396929655	63	15	6	30	5	26	5	4	7	29	14	9	43	4	4	6	10	2	8	3	37	10	3	40	13	6	12	19	5	1	25	2	62	5	28	15	2	1	2	5	29	2	8	36	5	18	20	5	2	62	1	19	21	6	13	4	7	21	14	0	9	4	5	40	4	2	17	62	1	14	1	6	2	18	2	25	6	29	30	1	62	24.66666667	72	9	30.16666667	8.666666667	2.833333333	1.333333333	17.83333333	63.66666667	13.16666667	5.666666667	7.833333333	6	48.16666667	2.166666667	50.33333333	0.833333333	77.66666667	13.33333333	0.833333333	11.16666667	43.5	22.5	10.16666667	2.166666667	2.666666667	97.83333333	6.333333333	32.66666667	51.5	0.666666667	0.333333333	1.666666667	6.833333333	59	1	18.16666667	2	54.16666667	21.33333333	13.83333333	1	99.66666667	0.333333333	17	21.33333333	4.166666667	53.33333333	4.166666667	6.666666667	33	11.66666667	0	42.83333333	17	5.5	38.66666667	1.5	0.5	7.076973666	21	97.83333333	2.166666667	44.5	0.333333333	7.166666667	0.666666667	65.33333333	7.5	28.83333333	10	29.66666667	65.5	0.333333333	99.66666667	23.80952381	47.61904762	9.523809524	41.26984127	7.936507937	7.936507937	6.349206349	11.11111111	46.03174603	22.22222222	14.28571429	68.25396825	6.349206349	6.349206349	9.523809524	15.87301587	3.174603175	12.6984127	4.761904762	58.73015873	15.87301587	4.761904762	20.63492063	9.523809524	19.04761905	30.15873016	7.936507937	1.587301587	39.68253968	3.174603175	98.41269841	7.936507937	44.44444444	23.80952381	3.174603175	1.587301587	3.174603175	7.936507937	46.03174603	3.174603175	12.6984127	57.14285714	7.936507937	28.57142857	31.74603175	7.936507937	3.174603175	98.41269841	1.587301587	30.15873016	33.33333333	9.523809524	20.63492063	6.349206349	11.11111111	33.33333333	22.22222222	0	14.28571429	6.349206349	7.936507937	63.49206349	6.349206349	3.174603175	26.98412698	98.41269841	1.587301587	22.22222222	1.587301587	9.523809524	3.174603175	28.57142857	3.174603175	39.68253968	9.523809524	46.03174603	47.61904762	1.587301587	98.41269841	9	2	15	17.40614334	7.5	17.40614334	14.28571429	3.174603175	23.80952381	3.477326969
AB01144	IDEM_2021_Diatoms	HIN	600	6.396929655	32	4	2	16	2	11	3	2	9	10	7	5	17	2	3	2	9	2	5	1	23	2	2	24	4	5	7	10	3	0	13	2	32	2	12	10	1	1	1	2	16	0	4	18	3	12	8	3	0	32	0	7	6	2	13	4	4	14	3	0	8	11	2	11	1	0	14	32	0	8	0	0	1	8	2	11	2	7	23	0	32	3.333333333	51	1.666666667	7.333333333	1.666666667	29.16666667	6.666666667	18	43.16666667	2.666666667	0.666666667	5.666666667	0.5	41.83333333	0.666666667	42.5	2.333333333	85.66666667	1	1	8.333333333	39.33333333	12	1.333333333	0	0.833333333	100	0.666666667	10	42.33333333	0.166666667	28.5	6.166666667	0.666666667	48.5	0	5	8.666666667	42.83333333	7.833333333	1.833333333	0	100	0	2.5	17.16666667	0.666666667	74.83333333	4.833333333	2	22	7	0	68.16666667	13.16666667	1.166666667	18.83333333	0.5	0	0	41.33333333	100	0	42.16666667	0	0	0.5	45.66666667	1.666666667	7.333333333	1.666666667	8.166666667	82.5	0	100	12.5	50	6.25	34.375	6.25	9.375	6.25	28.125	31.25	21.875	15.625	53.125	6.25	9.375	6.25	28.125	6.25	15.625	3.125	71.875	6.25	6.25	12.5	15.625	21.875	31.25	9.375	0	40.625	6.25	100	6.25	37.5	31.25	3.125	3.125	3.125	6.25	50	0	12.5	56.25	9.375	37.5	25	9.375	0	100	0	21.875	18.75	6.25	40.625	12.5	12.5	43.75	9.375	0	25	34.375	6.25	34.375	3.125	0	43.75	100	0	25	0	0	3.125	25	6.25	34.375	6.25	21.875	71.875	0	100	6	2	5	40.77181208	1.666666667	3.523489933	18.75	6.25	15.625	3.733108108
AB01145	IDEM_2021_Diatoms	HIN	599	6.395261598	40	9	4	15	3	10	3	3	13	13	3	6	16	2	1	0	9	1	3	1	27	3	0	28	3	8	6	9	2	1	12	6	34	2	7	17	0	0	2	4	15	1	4	20	4	17	4	3	0	40	0	1	13	12	10	4	0	20	8	0	10	10	8	7	6	0	16	34	6	4	0	1	1	8	3	10	3	7	28	0	40	11.51919866	72.12020033	9.18196995	53.0884808	6.343906511	7.178631052	2.003338898	70.61769616	13.68948247	3.505843072	1.335559265	0.333889816	0	67.11185309	6.176961603	73.28881469	0.667779633	80.13355593	14.1903172	0	17.52921536	15.85976628	50.58430718	1.335559265	1.669449082	5.50918197	94.49081803	1.335559265	6.510851419	84.64106845	0	0	0.333889816	9.682804674	70.45075125	0.834724541	10.35058431	3.839732888	82.97161937	3.005008347	3.005008347	0	100	0	0.333889816	11.01836394	17.86310518	21.86978297	48.9148581	0	74.12353923	3.005008347	0	21.53589316	66.11018364	8.180300501	5.50918197	12.35392321	0	0	78.46410684	94.49081803	5.50918197	46.07679466	0	0.667779633	1.168614357	9.682804674	8.848080134	53.0884808	6.343906511	5.50918197	91.98664441	0	100	22.5	37.5	10	25	7.5	7.5	7.5	32.5	32.5	7.5	15	40	5	2.5	0	22.5	2.5	7.5	2.5	67.5	7.5	0	7.5	20	15	22.5	5	2.5	30	15	85	5	17.5	42.5	0	0	5	10	37.5	2.5	10	50	10	42.5	10	7.5	0	100	0	2.5	32.5	30	25	10	0	50	20	0	25	25	20	17.5	15	0	40	85	15	10	0	2.5	2.5	20	7.5	25	7.5	17.5	70	0	100	5	3	8	10.2006689	6.343906511	13.87959866	12.5	7.5	20	4.020044543
AB01146	IDEM_2021_Diatoms	HIN	600	6.396929655	46	13	1	25	1	22	4	0	7	20	13	4	32	4	4	2	7	2	8	3	24	7	1	27	8	5	5	12	8	1	21	4	44	7	16	11	1	3	1	2	21	1	5	24	3	12	12	7	0	46	0	11	16	3	13	3	2	17	5	0	14	5	4	26	0	2	15	44	2	9	0	6	2	15	1	22	1	24	20	0	46	28.16666667	42.5	3	58	3	2.833333333	0	12	44	40.33333333	21.33333333	3.833333333	0.833333333	13.83333333	0.666666667	14.5	1.5	45	39	0.166666667	7	5.833333333	33.16666667	25	2.166666667	2.666666667	97.66666667	24.16666667	28.33333333	13.66666667	0.166666667	2.5	21.5	0.5	32.66666667	0.666666667	10	0.833333333	22.33333333	34.66666667	25.83333333	0	100	0	12.33333333	49.66666667	2.5	32.83333333	2.666666667	0.333333333	19.33333333	8	0	61.83333333	6.5	2	42.5	0	9	30.4692654	15.16666667	97.66666667	2.333333333	15.5	0	11.5	1.333333333	28.83333333	3	58	3	58.66666667	23.33333333	0	100	28.26086957	54.34782609	2.173913043	47.82608696	2.173913043	8.695652174	0	15.2173913	43.47826087	28.26086957	8.695652174	69.56521739	8.695652174	8.695652174	4.347826087	15.2173913	4.347826087	17.39130435	6.52173913	52.17391304	15.2173913	2.173913043	17.39130435	10.86956522	10.86956522	26.08695652	17.39130435	2.173913043	45.65217391	8.695652174	95.65217391	15.2173913	34.7826087	23.91304348	2.173913043	6.52173913	2.173913043	4.347826087	45.65217391	2.173913043	10.86956522	52.17391304	6.52173913	26.08695652	26.08695652	15.2173913	0	100	0	23.91304348	34.7826087	6.52173913	28.26086957	6.52173913	4.347826087	36.95652174	10.86956522	0	30.43478261	10.86956522	8.695652174	56.52173913	0	4.347826087	32.60869565	95.65217391	4.347826087	19.56521739	0	13.04347826	4.347826087	32.60869565	2.173913043	47.82608696	2.173913043	52.17391304	43.47826087	0	100	7	2	13	9.523809524	5.333333333	19.55782313	15.2173913	4.347826087	28.26086957	2.226337449
AB01146(B)	IDEM_2021_Diatoms	HIN	600	6.396929655	43	11	3	22	3	24	5	1	5	19	12	6	30	4	2	2	5	1	6	3	20	7	1	23	8	4	3	11	6	1	18	7	38	5	12	12	2	1	1	0	18	1	6	19	2	10	10	5	1	43	0	10	16	7	7	3	2	13	8	0	14	3	3	24	1	3	9	38	5	9	0	5	1	13	2	24	3	22	18	0	43	14	46.5	2.833333333	61.83333333	2.666666667	1.833333333	0.333333333	9.166666667	53.16666667	31.83333333	13.33333333	4	0.666666667	22.66666667	0.166666667	22.83333333	1.5	40.83333333	41.83333333	2.666666667	4.833333333	15.66666667	38.5	16.5	5.166666667	9.833333333	93.5	13.83333333	21.66666667	22.66666667	1.333333333	0.166666667	25.5	0	41.16666667	0.333333333	6.333333333	1.333333333	26.5	39.33333333	18.66666667	0.333333333	100	0	17.83333333	40.66666667	7.5	31.5	2.5	0.833333333	15.16666667	9.5	0	64	4.833333333	2.166666667	30.66666667	0.333333333	10.5	32.99936647	7.5	93.5	6.5	21.5	0	11.33333333	0.166666667	34.83333333	2.5	61.83333333	2.666666667	50.83333333	36.33333333	0	100	25.58139535	51.1627907	6.976744186	55.81395349	6.976744186	11.62790698	2.325581395	11.62790698	44.18604651	27.90697674	13.95348837	69.76744186	9.302325581	4.651162791	4.651162791	11.62790698	2.325581395	13.95348837	6.976744186	46.51162791	16.27906977	2.325581395	18.60465116	9.302325581	6.976744186	25.58139535	13.95348837	2.325581395	41.86046512	16.27906977	88.37209302	11.62790698	27.90697674	27.90697674	4.651162791	2.325581395	2.325581395	0	41.86046512	2.325581395	13.95348837	44.18604651	4.651162791	23.25581395	23.25581395	11.62790698	2.325581395	100	0	23.25581395	37.20930233	16.27906977	16.27906977	6.976744186	4.651162791	30.23255814	18.60465116	0	32.55813953	6.976744186	6.976744186	55.81395349	2.325581395	6.976744186	20.93023256	88.37209302	11.62790698	20.93023256	0	11.62790698	2.325581395	30.23255814	4.651162791	55.81395349	6.976744186	51.1627907	41.86046512	0	100	5	3	10	5.076142132	4.666666667	15.90524535	11.62790698	6.976744186	23.25581395	2.812244898
AB01147	IDEM_2021_Diatoms	HIN	600	6.396929655	51	15	5	25	3	18	5	4	7	23	11	9	34	2	2	2	10	4	4	2	38	5	1	40	6	5	9	13	5	1	19	2	50	3	19	23	2	0	1	6	20	1	9	27	5	18	12	4	1	51	0	9	24	3	10	5	4	22	12	0	11	8	3	30	1	1	24	50	1	12	0	3	2	15	4	18	3	24	24	0	51	33.66666667	70.83333333	6.166666667	37	5	6	2.333333333	23.16666667	60.16666667	7.833333333	4.166666667	6	1	49.83333333	6.833333333	56.66666667	0.833333333	84.83333333	7.333333333	0.333333333	5.5	34.16666667	22.66666667	10.83333333	0.166666667	0.5	99.83333333	5	26.83333333	64.16666667	0.833333333	0	0.666666667	6.166666667	55.33333333	0.666666667	23.66666667	2.833333333	70.33333333	10	4.666666667	0.666666667	100	0	17.33333333	32	1	28	21.66666667	6.333333333	51.16666667	9.833333333	0	28.83333333	22.5	5.666666667	47.66666667	0.5	0.166666667	4.083617779	49.16666667	99.83333333	0.166666667	35.5	0	1	0.666666667	50.83333333	5.666666667	37	5	40	53.83333333	0	100	29.41176471	49.01960784	9.803921569	35.29411765	5.882352941	9.803921569	7.843137255	13.7254902	45.09803922	21.56862745	17.64705882	66.66666667	3.921568627	3.921568627	3.921568627	19.60784314	7.843137255	7.843137255	3.921568627	74.50980392	9.803921569	1.960784314	11.76470588	9.803921569	17.64705882	25.49019608	9.803921569	1.960784314	37.25490196	3.921568627	98.03921569	5.882352941	37.25490196	45.09803922	3.921568627	0	1.960784314	11.76470588	39.21568627	1.960784314	17.64705882	52.94117647	9.803921569	35.29411765	23.52941176	7.843137255	1.960784314	100	0	17.64705882	47.05882353	5.882352941	19.60784314	9.803921569	7.843137255	43.1372549	23.52941176	0	21.56862745	15.68627451	5.882352941	58.82352941	1.960784314	1.960784314	47.05882353	98.03921569	1.960784314	23.52941176	0	5.882352941	3.921568627	29.41176471	7.843137255	35.29411765	5.882352941	47.05882353	47.05882353	0	100	11	4	10	11.53846154	5.166666667	9.364548495	21.56862745	7.843137255	19.60784314	3.724815725
AB01148	IDEM_2021_Diatoms	HIN	600	6.396929655	65	14	3	24	3	31	2	5	9	23	23	7	45	3	8	2	4	5	11	2	30	14	4	32	18	6	9	15	9	1	25	7	60	7	30	12	1	2	1	2	34	2	4	38	4	12	19	7	1	65	0	30	15	7	9	4	5	17	11	1	12	4	3	47	2	3	15	61	4	17	0	10	1	13	2	30	4	42	21	0	65	25	34.33333333	1.833333333	79.83333333	2.833333333	1.333333333	2.166666667	8	21.33333333	65	4.5	3	1.333333333	2.833333333	3.666666667	6.5	7.833333333	24.83333333	18	25.66666667	3.666666667	7.5	6.666666667	31.16666667	12	39.66666667	84.83333333	9.666666667	57	19	7.5	1.666666667	0.333333333	0.333333333	54.66666667	2.333333333	2.333333333	8.833333333	9.166666667	31.5	17.66666667	2.166666667	100	0	48	25.33333333	16.33333333	6	4.333333333	2.333333333	34.5	40.16666667	1.166666667	12	2.5	0.666666667	52.83333333	0.666666667	1.5	12.27827588	9	85.16666667	14.83333333	20.66666667	0	4.833333333	0.333333333	29	1.5	78.83333333	3.833333333	48.33333333	49.5	0	100	21.53846154	36.92307692	4.615384615	47.69230769	4.615384615	3.076923077	7.692307692	13.84615385	35.38461538	35.38461538	10.76923077	69.23076923	4.615384615	12.30769231	3.076923077	6.153846154	7.692307692	16.92307692	3.076923077	46.15384615	21.53846154	6.153846154	27.69230769	9.230769231	13.84615385	23.07692308	13.84615385	1.538461538	38.46153846	10.76923077	92.30769231	10.76923077	46.15384615	18.46153846	1.538461538	3.076923077	1.538461538	3.076923077	52.30769231	3.076923077	6.153846154	58.46153846	6.153846154	18.46153846	29.23076923	10.76923077	1.538461538	100	0	46.15384615	23.07692308	10.76923077	13.84615385	6.153846154	7.692307692	26.15384615	16.92307692	1.538461538	18.46153846	6.153846154	4.615384615	72.30769231	3.076923077	4.615384615	23.07692308	93.84615385	6.153846154	26.15384615	0	15.38461538	1.538461538	20	3.076923077	46.15384615	6.153846154	64.61538462	32.30769231	0	100	10	3	20	5.272108844	2.833333333	23.63945578	15.38461538	4.615384615	30.76923077	2.880434783
AB01149	IDEM_2021_Diatoms	HIN	600	6.396929655	47	12	2	18	2	18	3	2	11	15	13	5	27	1	3	3	11	3	4	2	24	7	2	26	9	6	10	10	3	0	13	2	45	4	14	14	2	0	1	4	19	0	5	23	7	16	9	2	0	45	0	12	17	1	11	4	5	15	8	2	10	8	1	30	0	2	13	45	0	12	1	6	2	14	2	17	3	25	18	0	45	19.16666667	49.16666667	3	26.66666667	3	12.83333333	0.5	13.5	54.83333333	17.66666667	8.833333333	8.666666667	1.333333333	44.66666667	4.833333333	49.5	1.833333333	78.5	7.166666667	2.833333333	14.83333333	44.5	10.16666667	13.33333333	0	6.166666667	99	12.16666667	19.33333333	51	1.166666667	0	8	6.333333333	51.83333333	0	10.33333333	14	52.66666667	12.66666667	9.166666667	0	99	0	16.16666667	27	5	41.16666667	9.666666667	8.666666667	24.5	16	1.333333333	40.83333333	7.166666667	7	44.66666667	0	0.333333333	5.776715014	23.33333333	99	0	33.33333333	0.333333333	3.5	0.5	45.66666667	3	25.33333333	4.333333333	39.5	50	0	99	25.53191489	38.29787234	4.255319149	38.29787234	4.255319149	6.382978723	4.255319149	23.40425532	31.91489362	27.65957447	10.63829787	57.44680851	2.127659574	6.382978723	6.382978723	23.40425532	6.382978723	8.510638298	4.255319149	51.06382979	14.89361702	4.255319149	19.14893617	12.76595745	21.27659574	21.27659574	6.382978723	0	27.65957447	4.255319149	95.74468085	8.510638298	29.78723404	29.78723404	4.255319149	0	2.127659574	8.510638298	40.42553191	0	10.63829787	48.93617021	14.89361702	34.04255319	19.14893617	4.255319149	0	95.74468085	0	25.53191489	36.17021277	2.127659574	23.40425532	8.510638298	10.63829787	31.91489362	17.0212766	4.255319149	21.27659574	17.0212766	2.127659574	63.82978723	0	4.255319149	27.65957447	95.74468085	0	25.53191489	2.127659574	12.76595745	4.255319149	29.78723404	4.255319149	36.17021277	6.382978723	53.19148936	38.29787234	0	95.74468085	8	3	10	16.80672269	3.333333333	10.08403361	17.0212766	6.382978723	21.27659574	3.409756098
