INDEX_NAME	Index_Region	SITE_TYPE	SampleID	TaxaID	N_TAXA	Exclude	NonTarget	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	BCG_Attr	Thermal_Indicator	FFG	Clinger	LongLived	Noteworthy	Habitat	SubPhylum	InfraOrder	Habit	Life_Cycle	TolVal	FFG2	TolVal2
BCG.PacNW.L1	ALL	hi	07067DFW	Baetis tricaudatus complex	26	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Baetidae			Baetis	4	cool_warm	GC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L2	ALL	hi	07067DFW	Boreochlus	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Podonominae	Boreochlini	Boreochlus	NA	NA	GC	no	FALSE	FALSE	SPEC							
BCG.PacNW.L3	ALL	hi	07067DFW	Calineuria californica	10	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Perlidae	Acroneuriinae	Acroneuriini	Calineuria	NA	cool_warm	PR	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L4	ALL	hi	07067DFW	Capniidae	1	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Capniidae				NA	cold_cool	SH	no	FALSE	FALSE	RHEO							
BCG.PacNW.L5	ALL	hi	07067DFW	Cinygmula	1	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Heptageniidae			Cinygmula	NA	cold	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L6	ALL	hi	07067DFW	Corynoneura	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Corynoneura	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L7	ALL	hi	07067DFW	Despaxia	1	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctrinae		Despaxia	NA	NA	NA	NA		FALSE	RHEO							
BCG.PacNW.L8	ALL	hi	07067DFW	Dicranota	4	FALSE	FALSE	Arthropoda	Insecta	Diptera	Pediciidae	Pediciinae		Dicranota	4	cold_cool	PR	no	FALSE	FALSE	GENE							
BCG.PacNW.L9	ALL	hi	07067DFW	Diphetor hageni	6	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Baetidae			Diphetor	4	cold_cool	GC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L10	ALL	hi	07067DFW	Dixella	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Dixidae			Dixella	4	cool_warm	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L11	ALL	hi	07067DFW	Glossosoma	33	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Glossosomatidae	Glossosomatinae	Glossosomatini	Glossosoma	NA	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L12	ALL	hi	07067DFW	Hesperoperla pacifica	3	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Perlidae	Acroneuriinae	Acroneuriini	Hesperoperla	NA	cold_cool	PR	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L13	ALL	hi	07067DFW	Hexatoma	4	FALSE	FALSE	Arthropoda	Insecta	Diptera	Limoniidae	Limoniinae		Hexatoma	NA	cold_cool	PR	no	FALSE	FALSE	DEPO							
BCG.PacNW.L14	ALL	hi	07067DFW	Hydropsyche	15	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Hydropsychinae		Hydropsyche	4	cool_warm	FC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L15	ALL	hi	07067DFW	Ironodes	4	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Heptageniidae			Ironodes	NA	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L16	ALL	hi	07067DFW	Juga	29	FALSE	FALSE	Mollusca	Gastropoda	Neotaenioglossa	Pleuroceridae			Juga	4	warm	SC	no	TRUE	FALSE	RHEO							
BCG.PacNW.L17	ALL	hi	07067DFW	Lara	1	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Larainae		Lara	4	cold_cool	SH	yes	TRUE	FALSE	SPEC							
BCG.PacNW.L18	ALL	hi	07067DFW	Lepidostoma	13	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Lepidostomatidae	Lepidostomatinae		Lepidostoma	NA	NA	SH	no	FALSE	FALSE	DEPO							
BCG.PacNW.L19	ALL	hi	07067DFW	Micropsectra	28	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Tanytarsini	Micropsectra	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L20	ALL	hi	07067DFW	Neoleptophlebia/Paraleptophlebia	85	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Leptophlebiidae			Neoleptophlebia/Paraleptophlebia	NA	NA	NA	NA		FALSE	DEPO							
BCG.PacNW.L21	ALL	hi	07067DFW	Neophylax	4	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Thremmatidae			Neophylax	NA	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L22	ALL	hi	07067DFW	Optioservus	24	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Optioservus	4	cool_warm	SC	yes	TRUE	FALSE	GENE							
BCG.PacNW.L23	ALL	hi	07067DFW	Pagastia	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Diamesinae	Diamesini	Pagastia	NA	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L24	ALL	hi	07067DFW	Parakiefferiella	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Parakiefferiella	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L25	ALL	hi	07067DFW	Parametriocnemus	9	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Parametriocnemus	4	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L26	ALL	hi	07067DFW	Perlidae	5	TRUE	FALSE	Arthropoda	Insecta	Plecoptera	Perlidae				NA	NA	PR	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L27	ALL	hi	07067DFW	Polypedilum	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Chironomini	Polypedilum	4	cool_warm	SH	yes	FALSE	FALSE	GENE							
BCG.PacNW.L28	ALL	hi	07067DFW	Rhabdomastix	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Limoniidae	Chioneinae		Rhabdomastix	NA	cold_cool	PR	no	FALSE	FALSE	SPEC							
BCG.PacNW.L29	ALL	hi	07067DFW	Rhithrogena	29	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Heptageniidae			Rhithrogena	4	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L30	ALL	hi	07067DFW	Rhyacophila betteni group	9	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	NA	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L31	ALL	hi	07067DFW	Rhyacophila blarina	19	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	NA	cold_cool	PR	no	FALSE	FALSE	RHEO							
BCG.PacNW.L32	ALL	hi	07067DFW	Rhyacophila narvae	10	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	NA	cold	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L33	ALL	hi	07067DFW	Simulium	6	FALSE	FALSE	Arthropoda	Insecta	Diptera	Simuliidae	Simuliinae	Simuliini	Simulium	4	cold_cool	FC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L34	ALL	hi	07067DFW	Sweltsa	19	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Chloroperlidae	Chloroperlinae		Sweltsa	4	cold_cool	PR	no	TRUE	FALSE	RHEO							
BCG.PacNW.L35	ALL	hi	07067DFW	Tanytarsini	10	TRUE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Tanytarsini		4	NA	FC	yes	FALSE	FALSE	GENE							
BCG.PacNW.L36	ALL	hi	07067DFW	Tanytarsus	3	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Tanytarsini	Tanytarsus	4	cool_warm	FC	yes	FALSE	FALSE	GENE							
BCG.PacNW.L37	ALL	hi	07067DFW	Tvetenia bavarica group	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Tvetenia	4	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L38	ALL	hi	07067DFW	Zaitzevia	6	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Zaitzevia	4	cool_warm	GC	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L39	ALL	hi	07067DFW	Zapada cinctipes	56	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemourinae		Zapada	4	cold_cool	SH	no	FALSE	FALSE	RHEO							
BCG.PacNW.L40	ALL	hi	17008TIKL	Baetis tricaudatus complex	61	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Baetidae			Baetis	4	cool_warm	GC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L41	ALL	hi	17008TIKL	Brillia	32	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Brillia	4	cold_cool	SH	no	FALSE	FALSE	GENE							
BCG.PacNW.L42	ALL	hi	17008TIKL	Calineuria californica	10	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Perlidae	Acroneuriinae	Acroneuriini	Calineuria	NA	cool_warm	PR	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L43	ALL	hi	17008TIKL	Cinygma	1	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Heptageniidae			Cinygma	4	cold_cool	SC	yes	FALSE	FALSE	DEPO							
BCG.PacNW.L44	ALL	hi	17008TIKL	Clinocera	6	FALSE	FALSE	Arthropoda	Insecta	Diptera	Empididae	Clinocerinae		Clinocera	NA	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L45	ALL	hi	17008TIKL	Corynoneura	3	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Corynoneura	4	cold_cool	GC	no	FALSE	FALSE	GENE							
