INDEX_CLASS,INDEX_NAME,SourceEntity,StationID,SampleID_Tt,SampleID,RepNum_new,CollDate,TaxaID,N_TAXA,NonTarget,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus,BCG_Attr,FFG,Life_Cycle,Noteworthy
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Agapetus,46,FALSE,Arthropoda,Insecta,NA,Trichoptera,Glossosomatidae,Agapetinae,NA,Agapetus,3,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Allocosmoecus partitus,1,FALSE,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,Dicosmoecinae,NA,Allocosmoecus,2,SC,uni,TRUE
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Ameletus,1,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Ameletidae,NA,NA,Ameletus,3,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Amiocentrus aspilus,2,FALSE,Arthropoda,Insecta,NA,Trichoptera,Brachycentridae,NA,NA,Amiocentrus,3,CG,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Ampumixis dispar,10,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Elminae,NA,Ampumixis,2,CG,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Antocha,24,FALSE,Arthropoda,Insecta,NA,Diptera,Limoniidae,Limoniinae,NA,Antocha,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Apatania,5,FALSE,Arthropoda,Insecta,NA,Trichoptera,Apataniidae,Apataniinae,Apataniini,Apatania,2,SC,uni,TRUE
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Arctopsyche grandis,3,FALSE,Arthropoda,Insecta,NA,Trichoptera,Hydropsychidae,Arctopsychinae,NA,Arctopsyche,3,PR,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Baetis,49,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Baetis,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Calineuria californica,1,FALSE,Arthropoda,Insecta,NA,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Calineuria,3,PR,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Chloroperlidae,2,FALSE,Arthropoda,Insecta,NA,Plecoptera,Chloroperlidae,NA,NA,NA,4,PR,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Clinocera,1,FALSE,Arthropoda,Insecta,NA,Diptera,Empididae,Clinocerinae,NA,Clinocera,3,PR,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Cricotopus,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Cricotopus,4,MH,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Cricotopus (Nostococladius),1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Cricotopus,2,MH,multi,TRUE
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Diphetor hageni,3,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Diphetor,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Drunella doddsii,1,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,3,SC,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Epeorus,1,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,3,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Epeorus grandis group,3,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,2,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,ORDEQ,32556,Tt_1003,05014REF,1,8/3/2005,Eubrianax edwardsii,39,FALSE,Arthropoda,Insecta,NA,Coleoptera,Psephenidae,Eubrianacinae,NA,Eubrianax,2,SC,semi,NA
