Taxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment
COSMOPTERYGIDAE,Arthropoda,Insecta,Lepidoptera,Cosmopterygidae,,,,Shredder,6,,6,
CRAMBIDAE,Arthropoda,Insecta,Lepidoptera,Crambidae,na,Pyraloidea,na,Shredder,,cb,,Added 7 Oct 2008 MTK
CRAMBUS,Arthropoda,Insecta,Lepidoptera,Pyralidae,Crambus,,,,5,,5,
CRANGONYCTIDAE,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,,Collector,4,sp,6.5,
CRANGONYX,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,Crustacea,,Collector,4,sp,6.7,
CRICOTOPUS,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Orthocladiinae,,Shredder,7,"cn, bu",9.6,
CRICOTOPUS/ORTHOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus/Orthocladius,Orthocladiinae,,Shredder,7,,7.7,
CRYPTOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,Chironominae,Chironomini,Predator,7,"sp, bu",7.6,
CRYPTOLABIS,Arthropoda,Insecta,Diptera,Tipulidae,Cryptolabis,,,,4,bu,4.8,
CRYPTOTENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Cryptotendipes,Chironominae,Chironomini,Collector,7,sp,6.6,
CULEX,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culicini,Culicini,Collector,8,sw,8,
CULICIDAE,Arthropoda,Insecta,Diptera,Culicidae,,,,,8,,8,
CULICOIDES,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,,,Predator,6,bu,5.9,
CULTUS,Arthropoda,Insecta,Plecoptera,Perlodidae,Cultus,Diploperlini,Diploperlini,Predator,2,cn,2.2,
CURA,Platyhelminthes,Turbellaria,Tricladida,Dugesiidae,Cura,,,,6,sp,6.5,
CURCULIONIDAE,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,Shredder,,cn,,
