SPECIES,TYPE,PTOLR,NATIVE,TROPHIC,SILT,PIRHALLA,DATE ADDED,REASON,SOURCE,FAM,GENUS,SP_SCI,IN_KEY,APPROX_ID
ALEWIFE,NOTYPE,NOTYPE,N,FF,N,,,,,Clupeidae,Alosa,pseudoharengus,TRUE,FALSE
AMERICAN BROOK LAMPREY,LAMPREY,NOTYPE,N,FF,N,,,,,Petromyzontidae,Lampetra,appendix,TRUE,FALSE
AMERICAN EEL,NOTYPE,NOTYPE,N,GE,N,1.43,,,,Anguillidae,Anguilla,rostrata,TRUE,FALSE
AMERICAN SHAD,NOTYPE,NOTYPE,N,FF,N,,,,,Clupeidae,Alosa,sapidissima,TRUE,FALSE
ATLANTIC NEEDLEFISH,,,,,,,2018-05-01,"PREVIOUSLY EXCLUDED FROM LIST, BUT ENCOUNTERED HISTORICALLY; REQUIRES ATTRIBUTES",,,,,FALSE,FALSE
ATLANTIC SILVERSIDE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Atherinidae,Menidia,menedia,TRUE,FALSE
BANDED DARTER,DARTER,NOTYPE,I,IS,Y,,,,,Percidae,Etheostoma,zonale,TRUE,FALSE
BANDED KILLIFISH,NOTYPE,NOTYPE,N,IV,N,-0.52,,,,Fundulidae,Fundulus,diaphanus,TRUE,FALSE
BANDED SUNFISH,SUNFISH,NOTYPE,N,IV,N,-1.97,,,,Centrarchidae,Enneacanthus,obesus,TRUE,FALSE
BLACK CRAPPIE,SUNFISH,NOTYPE,IC,GE,N,,,,,Centrarchidae,Pomoxis,nigromaculatus,TRUE,FALSE
BLACK REDHORSE,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Catostomidae,Moxostoma,duquesnii,FALSE,FALSE
BLACKBANDED SUNFISH,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Enneacanthus,chaetodon,TRUE,FALSE
BLACKNOSE DACE,OTHRCYPR,T,N,OM,N,1.81,,,,Cyprinidae,Rhinichthys,obtusus,TRUE,FALSE
BLACKSIDE DARTER,DARTER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Percidae,Percina,maculata,FALSE,FALSE
BLUE CATFISH,NOTYPE,NOTYPE,IC,OM,N,,2017-10-18,POTENTIAL OCCURRENCE,JENKINS AND BURKHEAD,Ictaluridae,Ictalurus,furcatus,TRUE,FALSE
BLUE RIDGE SCULPIN,SCULPIN,I,N,IS,Y,,,,,Cottidae,Cottus,caeruleomentum,TRUE,FALSE
BLUEBACK HERRING,NOTYPE,NOTYPE,N,IV,N,,,,,Clupeidae,Alosa,aestivalis,TRUE,FALSE
BLUEGILL,SUNFISH,T,IC,IV,N,0.63,,,,Centrarchidae,Lepomis,macrochirus,TRUE,FALSE
BLUEHEAD CHUB,OTHRCYPR,I,I,OM,Y,,2017-10-18,NEW OCCURRENCE,JENKINS AND BURKHEAD,Cyprinidae,Nocomis,leptocephalus,TRUE,FALSE
BLUESPOTTED SUNFISH,SUNFISH,NOTYPE,N,IV,N,-0.59,,,,Centrarchidae,Enneacanthus,gloriosus,TRUE,FALSE
BLUNTNOSE MINNOW,OTHRCYPR,T,N,OM,N,2.24,,,,Cyprinidae,Pimephales,notatus,TRUE,FALSE
BRIDLE SHINER,SHINER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Notropis,bifrenatus,TRUE,FALSE
BROOK STICKLEBACK,,,,,,0,,,,Gasterosteidae,Culea,inconstans,TRUE,FALSE
BROOK TROUT,NOTYPE,I,N,GE,Y,2.49,,,,Salmonidae,Salvelinus,fontinalis,TRUE,FALSE
BROWN BULLHEAD,NOTYPE,T,N,OM,N,-1.71,,,,Ictaluridae,Ameiurus,nebulosus,TRUE,FALSE
BROWN TROUT,NOTYPE,NOTYPE,I,TP,Y,3.75,,,,Salmonidae,Salmo,trutta,TRUE,FALSE
BULLHEAD (UNKNOWN),NOTYPE,NOTYPE,N,OM,N,,,,,Ictaluridae,Ameiurus,.,FALSE,TRUE
BULLHEAD MINNOW,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Pimephales,vigilax,FALSE,FALSE
CATFISH (UNKNOWN),NOTYPE,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2017-10-18,NEW OCCURRENCE,,Ictaluridae,.,.,FALSE,TRUE
CENTRAL STONEROLLER,OTHRCYPR,I,N,AL,Y,3.66,,,,Cyprinidae,Campostoma,anomalum,TRUE,FALSE
CHAIN PICKEREL,NOTYPE,NOTYPE,IY,TP,N,0.98,,,,Esocidae,Esox,niger,TRUE,FALSE
CHANNEL CATFISH,NOTYPE,NOTYPE,IC,OM,N,,,,,Ictaluridae,Ictalurus,punctatus,TRUE,FALSE
CHEAT MINNOW,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Pararhinichthys,bowersi,TRUE,FALSE
CHECKERED SCULPIN,SCULPIN,NOTYPE,N,IS,Y,,,,,Cottidae,Cottus,sp.,TRUE,FALSE
CHESAPEAKE LOGPERCH,DARTER,NOTYPE,N,IV,Y,,2017-10-18,TAXONOMY CHANGE,,Percidae,Percina,bimaculata,TRUE,FALSE
COMELY SHINER,SHINER,I,N,IV,Y,,,,,Cyprinidae,Notropis,amoenus,TRUE,FALSE
COMMON CARP,OTHRCYPR,NOTYPE,I,OM,N,,,,,Cyprinidae,Cyprinus,carpio,TRUE,FALSE
COMMON SHINER,SHINER,I,N,OM,Y,3.83,,,,Cyprinidae,Luxilus,cornutus,TRUE,FALSE
CREEK CHUB,OTHRCYPR,T,N,GE,Y,1.87,,,,Cyprinidae,Semotilus,atromaculatus,TRUE,FALSE
CREEK CHUBSUCKER,SUCKER,NOTYPE,N,IV,N,-0.79,,,,Catostomidae,Erimyzon,oblongus,TRUE,FALSE
CUTLIP MINNOW,OTHRCYPR,NOTYPE,N,IV,Y,3.83,,,,Cyprinidae,Exoglossum,maxilingua,TRUE,FALSE
CUTTHROAT TROUT,NOTYPE,NOTYPE,I,TP,Y,,,,,Salmonidae,Oncorhynchus,clarkii,TRUE,FALSE
