INDEX_REGION,SourceEntity,StationID,SampleID_Tt,SampleID,RepNum,CollDate,TaxaID,N_TAXA,NonTarget,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus,BCG_Attr,FFG,Habit,Life_Cycle,Habitat,Noteworthy,Thermal_Indicator,Exclude
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Baetis tricaudatus complex,82,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Baetis,4,CG,CN,multi,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Caecidotea,1,FALSE,Arthropoda,Malacostraca,NA,Isopoda,Asellidae,NA,NA,Caecidotea,5,OM,CB,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Crangonyx,42,FALSE,Arthropoda,Malacostraca,NA,Amphipoda,Crangonyctidae,NA,NA,Crangonyx,5,CG,SW,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Dicranota,5,FALSE,Arthropoda,Insecta,NA,Diptera,Pediciidae,Pediciinae,NA,Dicranota,4,PR,CN,uni,GENE,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Diplocladius cultriger,6,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Diplocladius,5,CG,SP,multi,GENE,NA,NA,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Elmidae,2,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,NA,NA,NA,NA,CG,CN,semi,RHEO,NA,NA,TRUE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Eukiefferiella,11,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Eukiefferiella,4,CG,SP,multi,GENE,NA,NA,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Malenka,8,FALSE,Arthropoda,Insecta,NA,Plecoptera,Nemouridae,NA,NA,Malenka,4,SH,SP,uni,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Micropsectra,85,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,4,CG,SP,multi,GENE,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Nemouridae,1,FALSE,Arthropoda,Insecta,NA,Plecoptera,Nemouridae,NA,NA,NA,4,SH,SP,UN,RHEO,NA,cold_cool,TRUE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Oligochaeta,23,FALSE,Annelida,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,4,CG,BU,uni,GENE,NA,NA,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Optioservus,1,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Elminae,NA,Optioservus,4,SC,CN,semi,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Parametriocnemus,17,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Parametriocnemus,4,CG,SP,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Polypedilum,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,4,OM,CB,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Prodiamesa,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Prodiamesinae,NA,Prodiamesa,5,CG,BU,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Rheotanytarsus,61,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,4,CF,CN,multi,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Simulium,160,FALSE,Arthropoda,Insecta,NA,Diptera,Simuliidae,Simuliinae,Simuliini,Simulium,4,CF,CN,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Thienemanniella,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Thienemanniella,3,CG,SP,multi,GENE,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Thienemannimyia group,2,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia group,4,PR,SP,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Trepaxonemata,1,FALSE,Platyhelminthes,Trepaxonemata,NA,NA,NA,NA,NA,NA,4,PR,CN,multi,RHEO,NA,NA,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Trombidiformes,5,FALSE,Arthropoda,Arachnida,NA,Trombidiformes,NA,NA,NA,NA,4,PR,SW,multi,UNKN,NA,NA,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Tvetenia bavarica group,5,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Tvetenia,4,CG,SP,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,134,Tt_81,4583_7075,7075,2012-08-22,Zapada cinctipes,8,FALSE,Arthropoda,Insecta,NA,Plecoptera,Nemouridae,Nemourinae,NA,Zapada,4,SH,SP,uni,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Baetis tricaudatus complex,59,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Baetis,4,CG,CN,multi,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Brillia,4,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Brillia,4,SH,BU,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Dicosmoecus gilvipes,1,FALSE,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,Dicosmoecinae,NA,Dicosmoecus,3,SC,CN,uni,RHEO,NA,cold_cool,FALSE
